#{"t_start": 1739493390.662001, "env_id": "supertuxkart/full-v0"}
r,l,t
-123.883924,1500,12.415155
-92.946634,1500,21.442422
-131.706889,1500,30.496059
-114.060157,1500,42.887226
-99.690234,1500,115.585937
-103.613921,1500,124.588613
-54.302511,1500,132.923975
-102.453353,1500,141.690111
-71.620795,1500,155.495193
-84.320715,1500,163.756102
-112.02513,1500,177.577735
-110.378632,1500,182.487848
-61.214682,1500,197.204221
-101.268036,1500,203.046058
-47.133862,1500,207.962019
-65.550842,1500,213.858756
-51.416653,1500,231.932303
-103.0,1500,238.377917
-126.0,1500,252.232339
-112.422241,1500,261.602697
-118.00114,1500,266.665763
-85.488358,1500,277.826245
-90.836896,1500,282.702117
-139.436114,1500,297.145133
-117.621335,1500,372.261679
-135.789211,1500,446.569547
-55.992566,1500,455.185865
-89.451575,1500,461.257198
-100.064316,1500,473.623182
-115.478763,1500,482.028485
-93.955939,1500,496.173416
-82.329858,1500,510.028991
-102.697537,1500,515.055901
-138.290809,1500,528.941181
-97.562671,1500,537.808028
-137.866536,1500,552.036054
-79.294003,1500,564.224046
-25.224353,1500,570.210246
-92.649701,1500,575.240559
-101.832573,1500,583.513322
-121.23341,1500,657.019955
-87.936708,1500,674.487589
-86.798108,1500,691.079459
-73.944458,1500,700.222606
-83.294193,1500,713.685254
-91.477016,1500,727.881273
-119.423587,1500,745.671334
-67.241376,1500,752.126896
-113.966229,1500,766.024592
-93.086297,1500,774.413733
-140.07617,1500,782.835221
-134.741837,1500,791.463414
-105.964558,1500,809.318607
-105.422913,1500,820.390902
-115.010043,1500,829.393798
-142.859344,1500,846.997992
-145.303109,1500,855.017031
-92.470016,1500,873.424812
-131.564857,1500,878.26691
-81.250571,1500,886.788941
-70.206717,1500,904.356054
-136.182666,1500,910.616685
-117.892517,1500,917.131304
-98.376294,1500,925.658857
-119.612326,1500,931.322156
-79.226547,1500,936.667726
-106.179413,1500,953.240063
-116.721021,1500,970.884916
-150.0,1500,984.758742
-75.807028,1500,990.619402
-118.545377,1500,1004.481367
-137.912371,1500,1018.505664
-96.971875,1500,1030.813393
-82.620996,1500,1044.681375
-64.620068,1500,1052.356568
-82.074094,1500,1057.379605
-138.048962,1500,1065.305964
-33.479184,1500,1074.138392
-111.549182,1500,1080.175942
-112.308403,1500,1086.475101
-82.171072,1500,1095.287894
-136.305852,1500,1101.553778
-114.808662,1500,1115.741441
-145.690234,1500,1191.786252
-60.864798,1500,1198.864421
-84.039941,1500,1205.22158
-79.479901,1500,1214.397947
-91.464151,1500,1222.92799
-149.303015,1500,1231.959575
-147.527607,1500,1239.699135
97.775574,1129,1253.191862
-3.669287,1500,1261.998249
-111.563972,1500,1268.126481
-115.708825,1500,1274.777353
-89.249596,1500,1281.142447
-142.867503,1500,1292.164938
-43.142383,1500,1297.585962
-139.620446,1500,1311.918346
-3.54325,1256,1317.398811
-101.956437,1500,1329.500628
-125.166162,1500,1340.851478
-137.363134,1500,1353.613134
-96.652148,1500,1371.364531
96.588318,1141,1385.436441
-124.872574,1500,1394.355712
-77.365665,1500,1402.698385
-74.647006,1500,1408.097232
-67.496268,1500,1416.465287
-78.806189,1500,1493.355426
-1.005975,1500,1502.266072
-79.672525,1500,1517.703131
-128.413077,1500,1593.251047
-121.313832,1500,1601.170983
-128.673637,1500,1615.75082
-145.648628,1500,1623.41185
-98.352067,1500,1631.805063
-118.104491,1500,1636.911512
-76.200534,1500,1649.52984
-81.678777,1500,1658.906464
-111.385831,1500,1673.418517
-126.998038,1500,1683.479833
-20.017322,1500,1699.818289
-111.73047,1500,1704.94691
-113.055858,1500,1717.862966
-85.67832,1500,1722.846938
-44.539126,1500,1736.872262
-83.704721,1500,1751.453259
-69.495734,1500,1757.876151
-125.166162,1500,1769.262358
-142.255111,1500,1781.69563
-113.865035,1500,1795.773605
-137.138417,1500,1813.33645
-111.7621,1500,1825.822693
-93.807455,1500,1839.053852
-31.802026,1500,1852.087989
-128.236487,1500,1861.44052
-84.761342,1500,1866.216616
-65.815784,1500,1940.140599
-114.930614,1500,1946.069443
-145.952942,1500,1954.222301
-101.815302,1500,1962.47421
-85.857599,1500,1974.812225
-89.133258,1500,1988.769253
-99.880007,1500,2000.827015
-117.239444,1500,2018.825096
-126.270659,1500,2026.83757
-91.04975,1500,2032.518349
-79.421109,1500,2042.037084
-71.951501,1500,2056.639753
-96.029819,1500,2062.284649
-120.842492,1500,2070.843439
-111.759781,1500,2075.960087
-114.61973,1500,2081.036141
-78.766046,1500,2155.338048
-54.853595,1500,2164.457421
-117.30891,1500,2177.303358
-139.644365,1500,2195.416651
-141.362811,1500,2208.339054
-112.30229,1500,2214.497366
-102.135181,1500,2224.557288
-50.095685,1500,2243.827614
-107.970618,1500,2254.669737
-69.587637,1500,2263.440563
-102.402269,1500,2269.166832
-91.47659,1500,2277.73805
-89.159843,1500,2284.087072
-113.450577,1500,2288.848339
-54.660083,1500,2305.424548
-129.292501,1500,2311.709632
-26.546211,1500,2318.03685
-121.299049,1500,2326.090088
-101.166162,1500,2337.198054
-100.873804,1500,2349.449005
-123.936371,1500,2363.797432
-140.15863,1500,2437.117178
-88.416388,1500,2450.786509
-50.10921,1500,2461.755093
-143.380775,1500,2469.786225
-145.648628,1500,2477.615503
-90.891095,1500,2488.550818
-118.82626,1500,2493.581249
-109.874527,1500,2498.320328
-115.708825,1500,2504.831815
-119.080945,1500,2509.814983
-95.7621,1500,2522.554239
-135.024158,1500,2535.909561
-126.402687,1500,2544.82902
-94.480124,1500,2549.842837
-135.931731,1500,2554.92576
-91.490994,1500,2563.487943
-100.57894,1500,2573.011105
-141.315573,1500,2578.322792
28.236108,1306,2592.960643
-129.285664,1500,2602.734649
-118.433524,1500,2608.17895
-92.181963,1500,2622.531334
-137.155603,1500,2627.814556
-102.692556,1500,2632.873267
-111.938113,1500,2637.966284
-92.302852,1500,2644.012877
-120.926953,1500,2655.278791
-117.090128,1500,2728.988109
-135.789211,1500,2801.536321
-83.854538,1500,2809.734342
-98.787509,1500,2819.193909
-81.267506,1500,2824.870878
-120.689917,1500,2830.544906
-78.279596,1500,2839.616211
-142.395088,1500,2852.473545
