#{"t_start": 1739548315.7139258, "env_id": "supertuxkart/flattened_continuous_actions-v0"}
r,l,t
-137.384425,1500,2.890016
-119.858754,1500,5.162911
-101.30278,1500,8.492552
-98.211617,1500,10.791912
-141.738268,1500,14.007942
-146.165823,1500,17.000298
-96.307664,1500,19.745641
-115.289577,1500,22.597907
-116.859347,1500,25.909737
-84.464439,1500,28.238486
-98.597755,1500,30.696478
-121.31047,1500,33.351095
-149.184757,1500,36.705366
57.497922,1500,39.286866
-142.488845,1500,42.482858
-116.246521,1500,45.054651
-100.307976,1500,47.557228
-120.397122,1500,50.854861
-124.605318,1500,53.751481
-20.196931,1500,56.161556
-121.164748,1500,61.47648
-147.140086,1500,63.424324
-120.001169,1500,65.957174
-128.795777,1500,68.584569
-102.196429,1500,70.93112
-12.249675,1500,72.843463
-100.554132,1500,75.692371
-122.160118,1500,78.0017
-99.217378,1500,80.224244
-124.25554,1500,83.32608
-121.929654,1500,88.565361
-98.211617,1500,90.981125
-87.696037,1500,93.375121
-83.709764,1500,96.087178
-103.478003,1500,98.449633
-150.0,1500,100.595414
-123.683153,1500,102.844287
-145.308968,1500,104.863449
-111.675793,1500,107.364642
45.568462,1500,109.238164
-96.381614,1500,111.964496
-121.361391,1500,114.086506
-93.627303,1500,117.752503
-140.289054,1500,120.456365
207.607998,1500,122.879042
-146.169072,1500,128.261929
-150.0,1500,130.782993
-88.067358,1500,133.854374
-150.0,1500,135.872695
-143.856327,1500,138.181489
-150.0,1500,140.70766
-46.138928,1500,142.655817
-24.041502,1500,146.396027
21.604937,1500,148.42128
-112.171741,1500,151.385751
-98.51773,1500,154.007815
-103.284378,1500,157.79072
-99.946439,1500,160.223744
-81.914388,1500,163.380561
-99.064941,1500,166.125808
-150.0,1500,168.547525
65.895972,1500,171.107325
-135.789211,1500,176.532272
-126.0,1500,179.441299
-83.181247,1500,182.581688
-133.390549,1500,184.514746
-149.138165,1500,186.96687
-150.0,1500,189.433562
-94.693582,1500,191.807183
-101.166162,1500,194.840448
-150.0,1500,197.341259
-116.696399,1500,200.201665
-148.290486,1500,203.531281
1674.613916,1500,206.39037
-148.441374,1500,208.476566
-68.770895,1500,210.930002
-148.50865,1500,213.288206
-150.0,1500,216.700688
74.962845,1500,218.57737
-127.0,1500,221.04227
-100.564425,1500,223.582564
-124.196588,1500,226.061281
-147.156928,1500,229.198808
-95.349741,1500,231.959849
-125.629535,1500,234.350137
-124.870704,1500,237.416327
-87.575029,1500,240.320288
-135.789211,1500,245.76135
-150.0,1500,248.866344
-129.502884,1500,251.274824
-102.624226,1500,253.648533
-118.384317,1500,256.615835
-104.430197,1500,259.000321
-111.978206,1500,261.309087
-119.71733,1500,263.875159
-139.708825,1500,266.029263
-98.211617,1500,268.447513
11.859914,1500,270.247137
-137.778683,1500,272.234281
-90.946282,1500,274.565152
-148.656753,1500,276.829722
444.33524,1500,279.584627
-124.470607,1500,281.611966
-144.7863,1500,283.726784
-118.395088,1500,286.129608
-125.166162,1500,289.309043
-99.984356,1500,292.208164
-139.419421,1500,294.191926
-95.459483,1500,296.655468
-99.984184,1500,299.423705
-146.689869,1500,302.463471
-110.683704,1500,305.674592
-89.46754,1500,307.451429
-118.338276,1500,312.870149
-101.0,1500,315.365882
-123.774546,1500,317.485716
475.363499,1500,320.131381
-126.0,1500,322.583468
-121.191318,1500,324.592774
-99.505024,1500,326.796546
-143.295463,1500,329.722725
-148.073269,1500,332.167528
-139.826693,1500,334.731513
-113.02027,1500,337.002884
-93.382746,1500,339.847867
-135.676819,1500,342.502726
-135.34648,1500,344.811603
-101.415309,1500,347.916145
-127.0,1500,350.174231
593.545724,1500,352.771712
-148.317374,1500,355.249523
-114.750632,1500,357.267531
-98.55784,1500,360.270452
-105.0,1500,362.758919
-148.415309,1500,365.908949
-82.416197,1500,368.548484
-85.473401,1500,370.441595
-124.682229,1500,373.077617
-129.044934,1500,374.946938
-149.831127,1500,377.34354
-125.714853,1500,380.024276
-99.78541,1500,382.503739
-143.554109,1500,384.330492
-103.0,1500,389.929868
-125.0,1500,392.57243
-125.317374,1500,395.113794
-97.256888,1500,397.687061
-126.0,1500,400.973305
-148.317374,1500,403.439703
-148.96453,1500,406.300419
-123.321323,1500,409.618958
-96.630198,1500,412.548763
-99.981613,1500,415.443577
-97.528397,1500,417.430599
-92.750632,1500,419.42569
917.739026,1500,422.400447
-88.010397,1500,424.805942
-124.694465,1500,427.777556
-149.708422,1500,430.016606
-147.881198,1500,432.962652
