#{"t_start": 1739551591.384929, "env_id": "supertuxkart/flattened_continuous_actions-v0"}
r,l,t
-144.438887,1500,6.537928
-123.931723,1500,8.850635
-144.919339,1500,11.190351
-90.086053,1500,13.730478
-121.690234,1500,19.944169
-124.827571,1500,22.297909
-146.551262,1500,24.941077
-87.54314,1500,27.689109
-54.344463,1500,30.287689
-116.194625,1500,32.469279
-1.664684,1500,35.227618
-117.791496,1500,37.532533
-90.93649,1500,40.04245
-100.695368,1500,42.535043
-126.245039,1500,44.285641
-93.194807,1500,46.857532
-102.152065,1500,49.298994
33.52114,1500,52.153754
-98.356589,1500,54.21561
-147.321344,1500,57.48898
-126.889868,1500,60.3674
-6.984068,1500,63.207416
-96.0,1500,65.364949
-121.929654,1500,70.984696
-86.150638,1500,73.859435
-123.484468,1500,79.227691
-88.615226,1500,82.258014
-122.16937,1500,87.622732
-51.413049,1500,92.517434
-145.156536,1500,94.796504
-97.797086,1500,97.096073
-125.0,1500,100.141965
-90.431821,1500,102.699413
-102.068203,1500,104.974051
-87.976123,1500,108.044554
-116.667172,1500,110.772983
-145.648628,1500,113.16015
-129.025197,1500,115.414995
-148.683986,1500,117.879649
-117.399066,1500,120.36829
-123.694322,1500,122.818633
-99.195697,1500,125.130964
-115.708825,1500,127.30978
-78.083133,1500,129.775008
-140.165534,1500,135.06379
-140.905215,1500,140.460622
-88.326038,1500,142.916864
-105.912332,1500,145.378556
-105.299178,1500,150.654082
-146.292987,1500,152.870441
-98.008864,1500,155.496565
-124.678845,1500,158.035401
-150.0,1500,161.657635
-112.194911,1500,164.994829
-100.971268,1500,168.539936
-122.785896,1500,171.044237
-65.499377,1500,173.436442
-103.0,1500,176.373418
-28.091354,1500,178.470279
-104.664871,1500,181.115961
-102.479315,1500,183.585917
-147.221485,1500,186.091933
-99.822267,1500,188.379874
-124.436845,1500,193.752038
-101.66406,1500,196.548756
-115.067063,1500,198.935061
-19.0723,1500,201.40735
-100.349537,1500,203.760911
-115.042871,1500,205.883044
-101.415309,1500,209.169723
-145.329184,1500,211.357298
-121.929654,1500,216.509512
159.609347,1500,218.697941
-148.919114,1500,221.982684
-149.873298,1500,224.332
-145.357282,1500,226.512176
-108.458623,1500,229.643702
-101.077135,1500,233.01863
-101.359204,1500,236.281574
-124.357267,1500,239.738878
-99.710945,1500,242.827446
-112.533633,1500,245.350335
-97.853757,1500,248.414914
-94.206717,1500,251.517033
-96.115994,1500,253.758
-124.663384,1500,256.385544
-143.765046,1500,258.414573
-125.01588,1500,260.88822
-148.415309,1500,264.185724
-143.783802,1500,266.226092
-146.980032,1500,268.999651
-111.127301,1500,271.596048
-114.750632,1500,273.537306
-144.666,1500,275.41944
-147.718089,1500,278.526177
-93.329898,1500,281.092883
-121.929654,1500,286.538319
-148.1196,1500,289.845093
-101.721667,1500,292.51464
-95.395088,1500,295.068478
-149.671361,1500,297.414274
-33.52083,1500,300.333774
-101.721667,1500,302.997699
-144.31526,1500,305.458515
-137.358952,1500,308.726509
-104.413567,1500,311.146726
-41.833521,1500,313.791505
-103.317374,1500,316.262017
-112.785437,1500,318.626468
-100.337637,1500,321.147101
-107.405351,1500,324.125619
-117.42757,1500,326.594177
-121.250381,1500,328.990779
-118.334274,1500,332.655054
-106.046904,1500,335.092144
386.31621,1500,337.651245
-87.093944,1500,339.584857
-109.146834,1500,341.97809
-135.676262,1500,344.618065
-103.0,1500,349.825122
-13.749145,1500,352.3737
-112.78617,1500,354.901312
-101.664369,1500,357.676553
-48.429724,1500,359.684139
-99.983497,1500,362.524232
467.140655,1500,365.122492
-148.721667,1500,367.691826
-124.145363,1500,369.858162
-149.024695,1500,373.513686
-82.698595,1500,376.082988
-103.0,1500,378.467946
-81.272299,1500,381.477685
-123.0,1500,383.976908
