#{"t_start": 1739546269.522558, "env_id": "supertuxkart/full-v0"}
r,l,t
-115.215178,1500,2.783699
-101.166162,1500,5.731801
-87.979738,1500,8.197101
-126.889868,1500,10.945565
-92.058357,1500,14.225428
-141.466454,1500,16.788259
-130.642044,1500,19.482768
-105.332019,1500,21.522617
-96.756248,1500,26.914351
-53.258199,1500,29.562042
-150.0,1500,31.730722
-118.863168,1500,34.042211
-103.0,1500,36.478191
-93.397986,1500,38.47933
-142.540546,1500,40.906177
-84.32925,1500,46.509475
-106.541777,1500,48.835412
-97.431882,1500,50.871471
-92.708825,1500,53.180778
-100.295563,1500,56.319445
-150.0,1500,58.421834
-61.13772,1500,60.954424
-102.68942,1500,62.819918
-131.046904,1500,65.238209
-130.550861,1500,67.577876
-135.882359,1500,70.321678
-76.718704,1500,72.29937
-102.281757,1500,74.746632
-82.215961,1500,77.135518
-107.46599,1500,80.085201
-125.392157,1500,83.257288
-99.928696,1500,85.596147
-115.708825,1500,88.08282
-103.360774,1500,91.228586
-98.573926,1500,94.397354
-126.889868,1500,97.358137
-87.265544,1500,99.819471
-100.586806,1500,102.779196
-96.630869,1500,104.80048
-76.464774,1500,107.308416
-127.0,1500,109.585591
-65.702057,1500,111.99712
-118.847845,1500,114.594171
-86.874527,1500,116.606264
-124.623146,1500,118.74381
-87.938849,1500,121.860782
-96.398358,1500,124.360737
-117.040329,1500,126.544953
-91.497089,1500,128.479796
-70.50791,1500,131.176896
-67.78161,1500,133.601193
-150.0,1500,135.929079
-107.532217,1500,137.757448
-74.325037,1500,140.251748
-55.147757,1500,143.272417
-52.066785,1500,146.625334
-108.645113,1500,149.92682
-57.730811,1500,153.015424
-110.614081,1500,155.232335
-78.806897,1500,159.779097
-98.35229,1500,162.571972
-123.931723,1500,164.858525
-120.053857,1500,167.438983
-126.443159,1500,170.28022
-127.0,1500,172.613792
-89.744965,1500,177.972012
-84.543454,1500,180.153858
-90.085684,1500,182.01678
-97.968936,1500,184.532051
-120.145319,1500,186.862782
-88.552568,1500,189.046618
-117.998332,1500,191.255455
-81.5319,1500,196.582983
-92.267367,1500,199.624832
-88.370471,1500,201.72427
-143.765089,1500,204.114177
-89.575757,1500,206.415905
28.094745,980,207.641728
-100.412555,1500,210.932062
-137.86609,1500,214.18608
-17.089429,1500,216.756305
-125.0,1500,219.723195
-139.228589,1500,223.155575
-53.664301,1500,225.719175
-107.373355,1500,228.06445
-87.88685,1500,229.918783
-144.199945,1500,232.856787
-85.499915,1500,235.010191
-126.0,1500,237.092953
-104.816599,1500,240.218927
-111.960889,1500,242.714354
-91.12798,1500,245.354532
-92.090221,1500,247.8144
-89.729248,1500,250.423826
-101.222473,1500,252.910878
-86.024158,1500,255.563723
-142.40023,1500,257.67193
-78.777582,1500,260.134526
-90.103625,1500,262.987455
18.822839,1500,266.333429
-147.317508,1500,269.656118
-115.058357,1500,273.012026
-125.3455,1500,275.055419
-140.074354,1500,277.67959
-140.838264,1500,280.025005
-99.310197,1500,282.191036
-96.530862,1500,284.462997
-16.862195,1500,286.86016
-127.0,1500,289.176577
-132.0,1500,292.175915
-57.190344,1500,294.726028
-95.071838,1500,297.113313
-102.167802,1500,299.473115
-96.056433,1500,304.78458
-99.147985,1500,307.164391
