#{"t_start": 1739541861.54588, "env_id": "supertuxkart/full-v0"}
r,l,t
-92.708825,1500,2.550948
-103.0,1500,7.8106
-114.625478,1500,9.946948
-134.760858,1500,12.084488
-150.0,1500,15.122116
-126.0,1500,17.556723
-65.343848,1500,20.23963
-126.497701,1500,22.851514
-118.18605,1500,25.291293
-98.326302,1500,27.479052
-46.041644,1500,29.935771
-114.59845,1500,32.527739
-56.757471,1500,35.177397
-37.560309,1500,37.796456
-77.035132,1500,40.105308
-133.88096,1500,42.15282
-65.216824,1500,44.54832
-126.0,1500,46.953044
-63.871741,1500,49.070535
-89.766512,1500,51.823061
-135.660416,1500,54.591674
-88.704022,1500,56.972899
-132.547607,1500,59.389583
-85.173584,1500,62.368489
-142.205067,1500,65.719496
-74.537045,1500,68.651222
-67.81279,1500,70.447249
-88.619696,1500,73.038033
-144.746869,1500,75.302399
-116.713416,1500,77.776864
-127.80318,1500,80.241574
-69.532217,1500,82.216308
-65.150592,1500,85.211731
-103.393369,1500,88.234534
-88.70761,1500,91.361148
-75.703345,1500,94.577594
-141.055256,1500,96.784656
-114.885317,1500,99.461848
-10.696844,1500,102.397027
-88.675099,1500,104.941971
-150.0,1500,107.153988
-101.563776,1500,109.783625
-115.708825,1500,112.027783
-83.962228,1500,115.043784
-97.847372,1500,117.124195
-119.87695,1500,122.452112
-121.087943,1500,125.25134
-109.166153,1500,128.243664
-81.86925,1500,130.656953
-65.925345,1500,135.986202
-73.700888,1500,138.20306
-121.131337,1500,140.499526
-82.065771,1500,142.595445
-107.04812,1500,145.325923
-95.395088,1500,147.830919
-86.28736,1500,149.866831
-92.084033,1500,153.285781
-105.465346,1500,155.689213
-115.711701,1500,157.954315
-30.523712,1500,160.243118
-69.756348,1500,162.714813
-68.648254,1500,164.717216
-23.024939,1500,167.283114
-121.054639,1500,170.244966
-125.518257,1500,172.596025
-93.351462,1500,175.038928
-111.611551,1500,178.224141
-111.789211,1500,183.618928
-97.402014,1500,185.641312
-3.75061,1258,187.892098
-142.797086,1500,190.123767
-124.217155,1500,193.476824
-49.319971,1500,196.150095
-77.302357,1500,198.611575
-33.817395,1500,201.113579
-93.858506,1500,204.467066
-147.895992,1500,207.13142
-32.639996,1500,209.614389
-37.397205,1500,211.442623
-5.365796,1500,214.082354
-79.684756,1500,217.147522
-101.0,1500,220.419084
-98.819616,1500,222.85999
-67.020544,1500,225.530925
-99.483785,1500,227.626743
-98.346533,1500,230.707458
-97.721671,1500,233.06036
-84.039941,1500,235.085882
-43.891095,1500,238.101412
-37.184442,1500,243.438626
-89.663974,1500,246.634613
-86.743518,1500,249.074887
-21.513196,1463,251.377553
-70.590179,1500,253.812278
-112.956183,1500,255.82911
-103.663135,1500,259.061245
-87.867603,1500,261.641511
-103.008093,1500,264.28624
-51.698083,1500,266.943488
-115.708825,1500,269.12515
-121.864089,1500,271.535517
-127.65244,1500,273.946064
-63.633722,1500,276.474249
-40.290619,1500,278.851187
-95.465338,1500,281.259304
-12.630457,1500,284.068528
-98.648628,1500,286.586478
-144.906985,1500,288.636112
-150.0,1500,290.840549
-84.070068,1500,293.110093
-89.276471,1500,295.319026
-128.498056,1500,297.584399
-19.227863,1500,299.825526
-25.641455,1500,302.482382
-90.175079,1500,304.553485
-92.673737,1500,306.766536
-50.337903,1500,309.44365
-95.3914,1500,311.893846
-98.935449,1500,315.106983
-46.799152,1500,317.593209
-115.351778,1500,321.061663
-86.874527,1500,323.096496
-101.748105,1500,325.175342
-8.703271,1500,327.742475
-63.904352,1500,329.715424
-119.206717,1500,332.893777
-103.662175,1500,336.002114
-144.106483,1500,341.417837
-68.464178,1500,344.327262
-140.513087,1500,347.094114
-7.850061,1500,349.665287
-126.315738,1500,352.019437
-80.272226,1500,354.505172
