#{"t_start": 1739543679.778823, "env_id": "supertuxkart/full-v0"}
r,l,t
-109.997681,1500,5.712719
-99.075597,1500,8.257804
-101.534319,1500,10.804167
-85.766766,1500,12.815653
-65.667172,1500,15.451251
-99.350608,1500,17.745066
-132.319946,1500,20.315385
-78.166162,1500,23.160975
-98.82829,1500,26.068761
-77.348251,1500,28.513647
-102.531618,1500,30.967221
-140.074739,1500,32.999813
-135.789211,1500,38.392802
-114.435271,1500,40.336381
-138.699165,1500,42.524243
-81.125934,1500,44.865288
-93.306392,1500,48.102883
-110.327396,1500,50.680982
-150.0,1500,52.760008
-70.870111,1500,55.049075
-115.464093,1500,57.840757
-33.48913,1500,60.483838
-127.600645,1500,62.751387
-107.35228,1500,65.617355
-63.984644,1500,68.661658
-57.324426,1500,70.607726
-125.0,1500,73.659156
-106.811423,1500,75.608246
-140.082928,1500,78.385344
-99.936215,1500,80.301352
-127.0,1500,82.676309
-147.365998,1500,87.914292
-103.532217,1500,89.888253
-139.436114,1500,93.063332
-81.075099,1500,95.73095
-133.999594,1500,97.859395
-78.569122,1500,100.624662
-93.905215,1500,105.749161
-118.078947,1500,108.281624
-114.326193,1500,110.620743
-144.633307,1500,112.944209
-94.40023,1500,115.019717
-93.625191,1500,117.507269
-54.586011,1500,120.013788
-72.126208,1500,122.853683
-131.046904,1500,125.239964
-118.338276,1500,130.478326
-71.565182,1500,135.764731
-141.84115,1500,138.873993
-129.226384,1500,141.402501
2.712152,1500,143.96148
-133.392294,1500,145.892808
-79.006305,1500,148.17747
-145.147415,1500,150.359342
-71.241858,1500,152.711968
-82.811423,1500,154.674038
-124.670746,1500,157.297236
-120.647441,1500,159.818203
-112.040305,1500,162.293848
-69.679816,1500,165.487367
-115.869324,1500,167.805541
-90.19574,1500,170.88253
-116.058929,1500,173.453042
-90.097992,1500,175.260281
-72.210687,1500,177.690411
-46.052924,1500,180.216108
-102.89785,1500,182.33818
-79.374583,1500,185.033904
-98.882782,1500,187.350436
-103.540016,1500,189.925748
-90.907845,1500,193.134297
-89.64725,1500,195.025798
-95.755619,1500,197.590375
-121.348535,1500,200.386524
-110.752582,1500,202.676727
-103.858145,1500,205.073476
-57.949091,1500,207.644472
-145.299049,1500,210.435639
-116.881813,1500,213.548838
-114.062041,1500,215.951886
-45.984143,1500,218.526545
-46.795563,1500,221.059762
-135.956183,1500,222.930757
-51.886743,1500,226.061362
-12.766724,1500,228.718074
-86.19108,1500,231.180132
-100.160118,1500,233.629786
-91.504446,1500,236.01815
-145.306603,1500,238.848508
36.34541,1315,240.873784
-80.933932,1500,242.929286
-106.417459,1500,245.546502
-65.374139,1500,248.617096
-69.369543,1500,251.591713
-96.768463,1500,254.066995
-59.687573,1500,256.404744
-122.0,1500,258.753362
-106.248795,1500,261.058088
-145.420024,1500,263.278922
-45.47254,1500,265.453681
-123.867558,1500,267.458817
-150.0,1500,269.989892
44.015955,1277,272.210293
-90.891095,1500,275.121423
-69.685623,1500,278.475341
-57.333911,1500,280.506279
-92.436114,1500,283.857495
-81.631714,1500,286.004973
-56.603555,1500,288.444999
-71.988269,1500,290.884896
-104.295143,1500,293.505798
-58.169376,1500,296.360583
-114.537687,1500,299.694186
-85.161429,1500,302.752672
-0.237695,1500,305.306984
-67.346259,1500,307.540313
-118.559595,1500,309.846085
-57.925183,1500,312.334716
-44.307214,1500,314.832835
-104.992566,1500,317.317177
11.128381,1136,319.275069
-47.219824,1500,321.823801
-0.957043,1230,323.632177
-101.083209,1500,326.010699
-118.40023,1500,328.246276
-70.890778,1500,331.253277
60.067285,1181,333.787436
-61.268976,1500,336.376867
-131.642546,1500,338.658258
-17.39751,1500,341.202621
-61.384949,1500,343.537498
-42.024463,1500,345.465762
-92.025989,1500,347.825669
-98.76228,1500,350.394626
